method,empirical_miscoverage,empirical_coverage,avg_width,median_neff,avg_drift
DASC,0.034441489361702125,0.9655585106382979,6.412898936170213,2144.9999256132237,0.004962168091556652
adaptive,0.1061613475177305,0.8938386524822695,11.026994680851065,1080.0,
conformal_PID,0.09977836879432624,0.9002216312056738,13.722774822695035,1080.0,
exp_weighted,0.09352836879432624,0.9064716312056738,12.240992907801418,498.8265293357075,
rolling,0.09765070921985816,0.9023492907801418,12.412553191489362,1080.0,
spectral_only,0.002792553191489362,0.9972074468085106,12.607402482269503,2159.999912254523,
