method,month,coverage,avg_width,median_neff,avg_drift
DASC,2021-03,0.9986111111111111,9.107222222222221,1787.42234899618,0.003684431180676387
DASC,2021-04,0.9944444444444445,8.19,2151.9999523994456,0.0022363030076971557
DASC,2021-05,0.9959677419354839,7.1647849462365585,2147.9999694273993,0.0042301082992123986
DASC,2021-06,0.9902777777777778,5.336111111111112,2121.9998211180946,0.009915327222442698
DASC,2021-07,0.9744623655913979,4.189516129032257,2151.999928552388,0.0020370771826267414
DASC,2021-08,0.9274193548387096,3.152956989247312,2147.999830512663,0.003910248530487806
DASC,2021-09,0.8916666666666666,3.8172222222222216,2141.9998625244143,0.0050522208720672
DASC,2021-10,0.907258064516129,4.129838709677419,2147.999987949771,0.0031687133062035366
DASC,2021-11,0.9444444444444444,4.670277777777778,2141.9999343845748,0.004785222146065632
DASC,2021-12,0.9879032258064516,6.556182795698925,2149.999983475762,0.002779400579492048
DASC,2022-01,0.9946236559139785,8.420430107526881,2152.999994529804,0.0019521928631868685
DASC,2022-02,0.9955357142857143,9.84077380952381,2152.9999807550453,0.0025310845116495394
DASC,2022-03,0.9973118279569892,10.208602150537635,2154.999993335211,0.0019077350506299501
DASC,2022-04,0.9930555555555556,9.69361111111111,2146.9999854318526,0.004676711964207607
DASC,2022-05,0.9905913978494624,8.528494623655913,2144.9999847341824,0.0045179604999089655
DASC,2022-06,0.9888888888888889,6.487777777777778,2144.999976854048,0.004304985440310155
DASC,2022-07,0.956989247311828,4.535752688172043,2144.4999399705584,0.003836096858031411
DASC,2022-08,0.9206989247311828,3.6303763440860215,2133.9994609393593,0.007807676789726629
DASC,2022-09,0.8944444444444445,3.9402777777777778,2130.9986321751558,0.008392891857042072
DASC,2022-10,0.9153225806451613,4.604301075268817,2130.998803467574,0.007500110985664242
DASC,2022-11,0.9666666666666667,4.741944444444445,2138.998730065241,0.005425891566496187
DASC,2022-12,0.989247311827957,6.134408602150536,2143.99993899734,0.0038951474923744015
DASC,2023-01,0.9973118279569892,8.24731182795699,2152.999915770726,0.0024173726305555202
DASC,2023-02,0.9985119047619048,9.294940476190476,2152.4998507152586,0.00307790149562953
DASC,2023-03,0.9919354838709677,10.083064516129033,2150.9999597988353,0.0027029295352648678
DASC,2023-04,0.9986111111111111,9.32638888888889,2142.999963907261,0.004777414986243211
DASC,2023-05,0.989247311827957,7.399193548387097,2138.499747999066,0.009828487720174908
DASC,2023-06,0.9652777777777778,5.506388888888889,2128.998789609942,0.009815781497647374
DASC,2023-07,0.956989247311828,4.4927419354838705,2135.9993922829394,0.006657884342911001
DASC,2023-08,0.9193548387096774,3.793010752688172,2116.99789937479,0.011413414663202533
DASC,2023-09,0.8966049382716049,3.8669753086419756,2143.9993932568395,0.004367839570862957
adaptive,2021-03,0.9027777777777778,12.765277777777778,1080.0,
adaptive,2021-04,0.9125,11.834444444444443,1080.0,
