h,drift_lambda,m_min,stability_relax,empirical_miscoverage,empirical_coverage,avg_width,median_neff,avg_drift,score
0.55,0.7,80,0.01,0.10271186440677967,0.8972881355932203,2.7615778441426047,235.83955277661343,0.20531407123233855,2.8564930983798953
0.45,0.7,80,0.02,0.10338983050847457,0.8966101694915254,2.7399200824122394,208.04646397798422,0.1987120618662496,2.8585641502088515
0.55,0.45,40,0.03,0.10305084745762712,0.8969491525423728,2.7524277277157916,185.09125882044236,0.20531407123233855,2.859207388732743
0.55,0.7,80,0.02,0.10372881355932204,0.8962711864406779,2.7397125173133055,235.83955277661343,0.20531407123233855,2.8702209918895782
0.55,0.7,40,0.02,0.10355932203389831,0.8964406779661017,2.748596774567881,226.723327514292,0.20531407123233855,2.8731730457543216
0.45,0.7,40,0.03,0.10406779661016949,0.8959322033898305,2.735075503305038,199.8411469557956,0.1987120618662496,2.8774483846609717
0.55,0.45,80,0.03,0.10406779661016949,0.8959322033898305,2.7503020069603346,199.97179727008034,0.20531407123233855,2.8926748883162685
0.45,0.7,80,0.03,0.10491525423728813,0.8950847457627119,2.7224108986820466,208.04646397798422,0.1987120618662496,2.8944447969871305
0.55,0.7,40,0.03,0.10508474576271186,0.8949152542372881,2.7178722082728313,226.723327514292,0.20531407123233855,2.895838309967748
0.55,0.7,80,0.03,0.1059322033898305,0.8940677966101696,2.720718727787981,235.83955277661343,0.20531407123233855,2.9283458464320478
