method,empirical_miscoverage,empirical_coverage,avg_width,median_neff,avg_drift
DASC,0.10124164278892073,0.8987583572110793,2.2790940585694726,295.23816273558003,0.2038347540434977
adaptive,0.10458452722063037,0.8954154727793696,2.2615120834661493,252.0,
conformal_PID,0.10028653295128939,0.8997134670487106,2.7636088216364056,252.0,
exp_weighted,0.09837631327602674,0.9016236867239733,2.225951900148981,240.4572532014339,
rolling,0.11461318051575932,0.8853868194842407,2.1952486087796013,252.0,
spectral_only,0.1017191977077364,0.8982808022922636,2.191368143742558,439.73484380183254,
