method,empirical_miscoverage,empirical_coverage,avg_width,median_neff,avg_drift
DASC,0.10050847457627118,0.8994915254237288,2.751678453407493,200.15979029240935,0.20461583780356515
adaptive,0.10101694915254238,0.8989830508474577,2.7380743589938947,180.0,
conformal_PID,0.10042372881355932,0.8995762711864407,2.905719433199464,180.0,
exp_weighted,0.11169491525423729,0.8883050847457628,2.602206560222589,131.1908144239772,
rolling,0.11347457627118644,0.8865254237288136,2.5952085358006793,180.0,
spectral_only,0.12864406779661017,0.8713559322033898,2.4805535493767565,306.4559250835759,
