method,empirical_miscoverage,empirical_coverage,avg_width,median_neff,avg_drift
DASC,0.0967032967032967,0.9032967032967033,2.550843143898093,1243.6707944665518,0.08817385245446296
adaptive,0.09990842490842491,0.9000915750915751,3.539815234754484,720.0,
conformal_PID,0.1,0.9,3.922421973229756,720.0,
exp_weighted,0.09972527472527473,0.9002747252747253,3.5368549574127783,398.4153164879005,
rolling,0.09935897435897435,0.9006410256410257,3.5717918365868733,720.0,
spectral_only,0.03946886446886447,0.9605311355311356,3.6125974238892757,1433.2877812801498,
