method,month,coverage,avg_width,median_neff,avg_drift
DASC,2007-01,0.967741935483871,4.4403350389321465,1078.9155821708348,0.09194190204980357
DASC,2007-02,0.9285714285714286,3.0321194857852554,1277.4472940615242,0.05773814395048179
DASC,2007-03,0.8991935483870968,2.6676637506834338,1280.1897023222323,0.09822887300802022
DASC,2007-04,0.91350531107739,2.416996965098634,1237.0304511464146,0.09003908264689228
DASC,2007-05,0.8924731182795699,2.2348189964157705,1233.9607716235269,0.09511330435144356
DASC,2007-06,0.8972222222222223,2.2915290411173883,1208.5968539877751,0.1120247378971526
DASC,2007-07,0.9044414535666218,2.122125475855042,1142.8247554027628,0.12648797682410629
DASC,2007-08,0.8924731182795699,2.1002798020262343,1156.825888994253,0.10477843708379377
DASC,2007-09,0.8986111111111111,2.648625462962963,1231.3771100286363,0.08496630410809668
DASC,2007-10,0.9139784946236559,2.6134673155357806,1240.1936481053708,0.08878540322770495
DASC,2007-11,0.8902777777777777,2.6476385664112385,1266.2943652199442,0.07922275596959813
DASC,2007-12,0.8991935483870968,3.2106987455197133,1282.6970768206936,0.06386684608215337
DASC,2008-01,0.907258064516129,2.866291218637993,1312.012353979611,0.07845229850730548
DASC,2008-02,0.9109195402298851,2.6053718390804597,1352.6852836426428,0.03855249339153675
DASC,2008-03,0.8897849462365591,2.404372759856631,1252.7107450293179,0.08992985984934165
DASC,2008-04,0.9083333333333333,2.380815266792216,1247.775537157053,0.10502735299388569
DASC,2008-05,1.0,1.776984946236559,961.1581543062014,0.19078755845786724
adaptive,2007-01,0.9032258064516129,4.338243010752688,720.0,
adaptive,2007-02,0.9136904761904762,4.272581638418079,720.0,
adaptive,2007-03,0.8817204301075269,3.5560197299678022,720.0,
adaptive,2007-04,0.91350531107739,3.176106369006284,720.0,
adaptive,2007-05,0.8938172043010753,3.1933790322580644,720.0,
adaptive,2007-06,0.9013888888888889,3.0610683577706035,720.0,
adaptive,2007-07,0.8963660834454913,2.6057598332350254,720.0,
adaptive,2007-08,0.9005376344086021,2.77040761041249,720.0,
adaptive,2007-09,0.8958333333333334,3.129870648148148,720.0,
adaptive,2007-10,0.907258064516129,3.7124020609319,720.0,
adaptive,2007-11,0.8972222222222223,3.9472221296296297,720.0,
adaptive,2007-12,0.8991935483870968,4.530605913978494,720.0,
adaptive,2008-01,0.896505376344086,3.730481093189964,720.0,
adaptive,2008-02,0.9123563218390804,4.187077019611663,720.0,
adaptive,2008-03,0.8897849462365591,3.3489466147257154,720.0,
adaptive,2008-04,0.9027777777777778,3.8961615787821717,720.0,
adaptive,2008-05,0.967741935483871,3.8207182795698924,720.0,
conformal_PID,2007-01,0.9032258064516129,4.010004301075269,720.0,
conformal_PID,2007-02,0.9136904761904762,4.5562202407044055,720.0,
conformal_PID,2007-03,0.885752688172043,3.8079401124706465,720.0,
