method,empirical_miscoverage,empirical_coverage,avg_width,interval_score
AgACI_style,0.10614285714285714,0.8938571428571429,3.118796493585699,3.9457095661632815
DASC_same_window,0.10085714285714285,0.8991428571428571,3.2007531632608224,3.958598694531779
MAPIE_EnbPI,0.19328571428571428,0.8067142857142857,2.2346915610667266,4.086302574060635
