method,year,coverage,avg_width,median_neff,avg_drift
DASC,2018,0.8693693693693694,1.929837712183284,313.0658203147108,0.17112851058790926
DASC,2019,0.9484126984126984,2.006160415718809,282.7500979767357,0.21675721579027882
DASC,2020,0.8893280632411067,3.5493392090612246,279.9758738697702,0.1959013530170343
DASC,2021,0.9007936507936508,1.6223780873757303,330.49608680366475,0.1811602917516168
DASC,2022,0.8764940239043825,3.3023789984475034,232.2273900073693,0.24298789516937602
DASC,2023,0.944,2.0580595078338155,297.24939683679634,0.21418564515915192
DASC,2024,0.8531746031746031,1.6295049991113342,292.8011866724255,0.2150305816193723
DASC,2025,0.92,2.3087565648195785,291.7301764298409,0.20650802857664266
DASC,2026,0.8660714285714286,1.789179083194146,324.6300391489142,0.16651879208175985
adaptive,2018,0.8738738738738738,1.9332148310540413,252.0,
adaptive,2019,0.9484126984126984,2.1092845525180137,252.0,
adaptive,2020,0.8853754940711462,3.586531641505605,252.0,
adaptive,2021,0.8928571428571429,1.5934212189555195,252.0,
adaptive,2022,0.8645418326693227,3.2110523143045944,252.0,
adaptive,2023,0.9359999999999999,1.9872984953050945,252.0,
adaptive,2024,0.8611111111111112,1.6139644890602318,252.0,
adaptive,2025,0.92,2.2452739989309585,252.0,
adaptive,2026,0.8482142857142857,1.7421602221359451,252.0,
conformal_PID,2018,0.8873873873873874,2.0948048475431813,252.0,
conformal_PID,2019,0.9166666666666666,2.196042998557333,252.0,
conformal_PID,2020,0.9051383399209486,5.293464467740295,252.0,
conformal_PID,2021,0.8888888888888888,1.8259109701034955,252.0,
conformal_PID,2022,0.9083665338645418,3.886872403209857,252.0,
conformal_PID,2023,0.892,1.8139438062178448,252.0,
conformal_PID,2024,0.8968253968253969,1.8143165132056878,252.0,
conformal_PID,2025,0.896,2.947213962542437,252.0,
conformal_PID,2026,0.9107142857142857,3.0899027606039864,252.0,
exp_weighted,2018,0.8288288288288288,1.7774367585972108,240.4572532014339,
exp_weighted,2019,0.9444444444444444,1.9783012480980589,240.4572532014339,
exp_weighted,2020,0.8972332015810277,3.1618947579349075,240.4572532014339,
exp_weighted,2021,0.9603174603174603,1.9567991405640033,240.4572532014339,
exp_weighted,2022,0.8286852589641435,2.9392758411065563,240.4572532014339,
exp_weighted,2023,0.972,2.288162256406925,240.4572532014339,
exp_weighted,2024,0.8968253968253969,1.7522093364909914,240.4572532014339,
exp_weighted,2025,0.888,2.053477049085038,240.4572532014339,
exp_weighted,2026,0.875,1.8769895671120322,240.4572532014339,
rolling,2018,0.8018018018018018,1.6788813629200152,252.0,
rolling,2019,0.9523809523809523,2.010057852107807,252.0,
rolling,2020,0.849802371541502,2.9149806974572656,252.0,
rolling,2021,0.9682539682539683,2.1200506592206754,252.0,
rolling,2022,0.749003984063745,2.741106974286387,252.0,
rolling,2023,0.988,2.423456150146751,252.0,
rolling,2024,0.876984126984127,1.6819710989662675,252.0,
rolling,2025,0.892,2.0546882463147043,252.0,
rolling,2026,0.875,1.9147392527145481,252.0,
spectral_only,2018,0.8108108108108107,1.5567375900131806,420.68704986711293,
spectral_only,2019,0.9206349206349207,1.7285443435627585,433.2962918998942,
spectral_only,2020,0.8695652173913043,2.7659300492679844,426.03850970115127,
spectral_only,2021,0.9682539682539683,2.175125084908071,455.8698220261859,
spectral_only,2022,0.8127490039840637,2.798898285258679,407.8512956911358,
spectral_only,2023,0.996,2.5819403563493175,414.48087130088226,
spectral_only,2024,0.9325396825396826,2.0736958183449152,462.83863658006317,
spectral_only,2025,0.864,1.8752833517083964,448.83767347057153,
spectral_only,2026,0.9017857142857143,1.9662804172970187,454.0670192824091,
